date,real broad dollar
2006-01-01,100.0
2006-02-01,100.2631
2006-03-01,100.5392
2006-04-01,100.0525
2006-05-01,97.8658
2006-06-01,99.1969
2006-07-01,99.3747
2006-08-01,98.8319
2006-09-01,98.5661
2006-10-01,98.3548
2006-11-01,97.3659
2006-12-01,96.7871
2007-01-01,97.8325
2007-02-01,97.6761
2007-03-01,97.4324
2007-04-01,96.131
2007-05-01,95.4014
2007-06-01,95.1339
2007-07-01,93.7299
2007-08-01,94.0675
2007-09-01,92.8669
2007-10-01,90.7425
2007-11-01,89.6732
2007-12-01,90.5249
2008-01-01,90.0026
2008-02-01,89.0024
2008-03-01,87.2136
2008-04-01,86.8308
2008-05-01,87.1589
2008-06-01,87.7412
2008-07-01,87.341
2008-08-01,89.6885
2008-09-01,92.0418
2008-10-01,98.0073
2008-11-01,99.1774
2008-12-01,97.5742
2009-01-01,98.4956
2009-02-01,101.2731
2009-03-01,101.5512
2009-04-01,98.907
2009-05-01,95.749
2009-06-01,94.8342
2009-07-01,94.3986
2009-08-01,93.1627
2009-09-01,92.5133
2009-10-01,91.2602
2009-11-01,90.7868
2009-12-01,91.1333
2010-01-01,91.0121
2010-02-01,92.1981
2010-03-01,91.3035
2010-04-01,90.6531
2010-05-01,93.278
2010-06-01,93.651
2010-07-01,92.0358
2010-08-01,91.2286
2010-09-01,90.2451
2010-10-01,87.6943
2010-11-01,87.8117
2010-12-01,88.5153
2011-01-01,87.4305
2011-02-01,86.8054
2011-03-01,86.0292
2011-04-01,84.5745
2011-05-01,84.666
2011-06-01,84.5146
2011-07-01,83.9153
2011-08-01,84.5777
2011-09-01,87.2809
2011-10-01,87.9419
2011-11-01,88.5574
2011-12-01,89.361
2012-01-01,88.69
2012-02-01,87.241
2012-03-01,87.6665
2012-04-01,87.8877
2012-05-01,89.2879
2012-06-01,90.5212
2012-07-01,89.9603
2012-08-01,89.3078
2012-09-01,87.9943
2012-10-01,87.8607
2012-11-01,88.2686
2012-12-01,87.497
2013-01-01,87.4129
2013-02-01,88.2908
2013-03-01,88.7792
2013-04-01,88.0298
2013-05-01,88.4295
2013-06-01,89.1483
2013-07-01,89.7026
2013-08-01,89.6143
2013-09-01,89.1644
2013-10-01,88.159
2013-11-01,88.912
2013-12-01,89.0885
2014-01-01,89.9811
2014-02-01,90.1078
2014-03-01,89.9356
2014-04-01,89.4042
2014-05-01,89.0879
2014-06-01,89.1919
2014-07-01,88.948
2014-08-01,89.7616
2014-09-01,91.0791
2014-10-01,92.1942
2014-11-01,93.5393
2014-12-01,95.4096
2015-01-01,97.1586
2015-02-01,98.518
2015-03-01,100.4903
2015-04-01,99.5766
2015-05-01,98.7812
2015-06-01,99.567
2015-07-01,101.3864
2015-08-01,103.0188
2015-09-01,103.6127
2015-10-01,102.651
2015-11-01,104.3558
2015-12-01,105.1532
2016-01-01,107.448
2016-02-01,106.1116
2016-03-01,103.9702
2016-04-01,102.4917
2016-05-01,103.5625
2016-06-01,104.0115
2016-07-01,104.6888
2016-08-01,103.8649
2016-09-01,104.7425
2016-10-01,105.8182
2016-11-01,108.2357
2016-12-01,109.9513
2017-01-01,109.7376
2017-02-01,108.3368
2017-03-01,107.6431
2017-04-01,106.642
2017-05-01,106.0048
2017-06-01,104.5948
2017-07-01,102.8713
2017-08-01,101.9155
2017-09-01,101.2786
2017-10-01,103.0824
2017-11-01,103.2469
2017-12-01,102.9342
2018-01-01,100.7817
2018-02-01,100.1904
2018-03-01,100.4112
2018-04-01,100.5368
2018-05-01,103.5154
2018-06-01,105.0637
2018-07-01,105.0453
2018-08-01,105.6242
2018-09-01,105.8366
2018-10-01,106.5585
2018-11-01,107.7197
2018-12-01,107.7683
2019-01-01,106.0574
2019-02-01,106.1465
2019-03-01,106.5646
2019-04-01,106.6797
2019-05-01,107.4439
2019-06-01,106.8218
2019-07-01,106.5726
2019-08-01,108.3827
2019-09-01,108.5647
2019-10-01,108.0327
2019-11-01,107.8798
2019-12-01,107.2169
2020-01-01,106.5585
2020-02-01,107.9311
2020-03-01,111.8167
2020-04-01,113.4377
2020-05-01,112.7428
2020-06-01,110.1041
2020-07-01,109.5061
2020-08-01,108.1983
2020-09-01,107.7843
2020-10-01,107.2501
2020-11-01,105.9344
2020-12-01,103.9575
2021-01-01,103.2521
2021-02-01,103.9248
2021-03-01,105.396
2021-04-01,105.2319
2021-05-01,104.2462
2021-06-01,105.1581
2021-07-01,106.6685
2021-08-01,106.9659
2021-09-01,107.1018
2021-10-01,108.0318
2021-11-01,109.1848
2021-12-01,110.3242
2022-01-01,109.691
2022-02-01,109.8036
2022-03-01,111.0597
2022-04-01,111.6979
2022-05-01,114.2889
2022-06-01,115.2474
2022-07-01,117.2432
2022-08-01,116.6554
2022-09-01,119.4875
2022-10-01,121.0719
2022-11-01,118.5848
2022-12-01,116.0474
2023-01-01,113.9568
2023-02-01,114.646
2023-03-01,114.8487
2023-04-01,113.6432
2023-05-01,113.9703
2023-06-01,113.764
2023-07-01,112.4388
2023-08-01,114.0354
2023-09-01,115.73
2023-10-01,117.3635
2023-11-01,115.4762
2023-12-01,113.8318
2024-01-01,114.2228
2024-02-01,115.1139
2024-03-01,115.0701
2024-04-01,116.5047
2024-05-01,116.0076
2024-06-01,117.7024
